Time;cDAQ9189-1D36166Mod2/ai0;cDAQ9189-1D36166Mod3/ai1
20-12-2021 15:11:03.229;1.72610439646;1.57573682594
20-12-2021 15:11:03.230;3.42423396064;1.89195720695
20-12-2021 15:11:03.231;2.70545550906;-0.31851062658
20-12-2021 15:11:03.232;2.83756100958;2.01753790848
20-12-2021 15:11:03.233;1.97857518692;1.0398158387
20-12-2021 15:11:03.234;0.47939155538;1.9007692299
20-12-2021 15:11:03.235;0.98073230494;2.13460657082
20-12-2021 15:11:03.236;0.84363815264;2.05758574044
20-12-2021 15:11:03.237;0.36048910318;1.55597539575
20-12-2021 15:11:03.238;0.6144977487;1.99335171783
20-12-2021 15:11:03.239;0.21525557166;1.86285878223
20-12-2021 15:11:03.240;-1.77026534544;-1.67938695382
20-12-2021 15:11:03.241;-2.64879317996;-2.32468951955
20-12-2021 15:11:03.242;-3.39116457868;-3.77799834284
20-12-2021 15:11:03.243;-2.99484807712;-1.16570226279
20-12-2021 15:11:03.244;-3.47105802448;-0.71460168369
20-12-2021 15:11:03.245;-3.86058545858;-1.63093957658
20-12-2021 15:11:03.246;-2.10292965098;-2.21879525227
20-12-2021 15:11:03.247;-2.85201509984;-4.95734699731
20-12-2021 15:11:03.248;-1.02080480998;-5.13126258217
20-12-2021 15:11:03.249;-2.17269575858;-4.89783771892
20-12-2021 15:11:03.250;-1.85105899908;-1.05684565588
20-12-2021 15:11:03.251;-2.85550340522;-2.06122878233
20-12-2021 15:11:03.252;-1.67030476654;-0.97663749805
20-12-2021 15:11:03.253;-2.44684655452;-2.31032779704
20-12-2021 15:11:03.254;-0.94781295762;-1.25119763439
20-12-2021 15:11:03.255;-0.4113641023;-0.66630429833
20-12-2021 15:11:03.256;2.21352943316;0.66716101284
20-12-2021 15:11:03.257;4.10006499652;3.79756654438
20-12-2021 15:11:03.258;-1.10636206344;-0.90479138753
20-12-2021 15:11:03.259;3.03526915644;2.40114214158
20-12-2021 15:11:03.260;1.6465485286;0.56801638016
20-12-2021 15:11:03.261;3.35810619306;2.24432563104
20-12-2021 15:11:03.262;1.99417878948;2.048136252
20-12-2021 15:11:03.263;2.53752923824;2.82801903206
20-12-2021 15:11:03.264;1.78769361618;0.91127279754
20-12-2021 15:11:03.265;2.11413148416;1.02121684558
20-12-2021 15:11:03.266;2.1067797868;1.7399029386
20-12-2021 15:11:03.267;1.84463176206;1.8741456712
20-12-2021 15:11:03.268;1.6722419607;2.10644559535
20-12-2021 15:11:03.269;1.5704059488;2.30758470643
20-12-2021 15:11:03.270;0.99517313904;1.12954848091
20-12-2021 15:11:03.271;-0.6834894306;-0.85694397781
20-12-2021 15:11:03.272;0.21600574486;0.01983355673
20-12-2021 15:11:03.273;-0.30322663552;-0.33564719887
20-12-2021 15:11:03.274;-0.05701979128;-0.38296963701
20-12-2021 15:11:03.275;-0.44504687898;-0.49640099626
20-12-2021 15:11:03.276;-0.17063352242;-0.28967468765
20-12-2021 15:11:03.277;-0.45596189904;-0.78059811089
20-12-2021 15:11:03.278;-0.75055491468;-0.5347239216
20-12-2021 15:11:03.279;-0.84605196304;-0.572971851
20-12-2021 15:11:03.280;-0.50416052714;-0.11868394445
20-12-2021 15:11:03.281;-0.76702121642;-0.55062306088
20-12-2021 15:11:03.282;-0.73401359562;-0.75097471459
20-12-2021 15:11:03.283;-0.35176284156;-0.36332070073
20-12-2021 15:11:03.284;-0.3719800093;-0.40865574646
20-12-2021 15:11:03.285;-0.36549101112;-0.58125890237
20-12-2021 15:11:03.286;3.39535229244;2.48603754566
20-12-2021 15:11:03.287;2.40549875504;1.53726390872
20-12-2021 15:11:03.288;3.11546267152;1.68313101202
20-12-2021 15:11:03.289;2.73268679622;2.47587559579
20-12-2021 15:11:03.290;2.72420983906;2.96286173218
20-12-2021 15:11:03.291;2.21683019524;1.53598897774
20-12-2021 15:11:03.292;3.0493724126;2.72073733989
20-12-2021 15:11:03.293;1.98232605292;2.15534294823
20-12-2021 15:11:03.294;2.52410113796;1.82311093403
20-12-2021 15:11:03.295;2.04365271202;1.86529615028
20-12-2021 15:11:03.296;2.21547988348;1.93886716742
20-12-2021 15:11:03.297;1.58923529612;1.48915401321
20-12-2021 15:11:03.298;1.6028509397;1.98532715225
20-12-2021 15:11:03.299;1.16021124304;1.33803719411
20-12-2021 15:11:03.300;1.32232367156;1.06471449078
20-12-2021 15:11:03.301;0.19631369836;-0.24677700997
20-12-2021 15:11:03.302;-0.83862524836;-1.03280945711
20-12-2021 15:11:03.303;-1.39600393596;-1.13862872845
20-12-2021 15:11:03.304;-1.03239498592;-0.37558253692
20-12-2021 15:11:03.305;-1.49776493054;-0.88776730915
20-12-2021 15:11:03.306;-1.40057999248;-1.57525509113
20-12-2021 15:11:03.307;-1.78601898264;-1.0848191415
20-12-2021 15:11:03.308;-1.84760820236;-1.37456595569
20-12-2021 15:11:03.309;-1.67067985314;-1.47314811882
20-12-2021 15:11:03.310;-0.75032986272;-1.00011122727
20-12-2021 15:11:03.311;-1.8501962999;-1.99050761091
20-12-2021 15:11:03.312;-1.21971323396;-0.86268116722
20-12-2021 15:11:03.313;-1.77975503642;-1.19510067127
20-12-2021 15:11:03.314;-1.33250177458;-0.90809120889
20-12-2021 15:11:03.315;-1.59359955684;-1.51177102792
20-12-2021 15:11:03.316;-3.51831893608;-2.837849239
20-12-2021 15:11:03.317;-5.92296162002;-5.1222255714
20-12-2021 15:11:03.318;-5.10812349018;-4.59864141629
20-12-2021 15:11:03.319;-4.40018504134;-3.61806950079
20-12-2021 15:11:03.320;-5.03779475268;-3.36015846313
20-12-2021 15:11:03.321;-3.99396625354;-3.30672385588
20-12-2021 15:11:03.322;-3.72334127164;-3.41520548309
20-12-2021 15:11:03.323;-3.86568663634;-3.09748518328
20-12-2021 15:11:03.324;-3.56831797986;-2.78220225152
20-12-2021 15:11:03.325;-2.802353634;-2.35645030014
20-12-2021 15:11:03.326;-2.54358138866;-2.34553839087
20-12-2021 15:11:03.327;-2.68015041972;-1.89582523666
